res,ref,cmp,note
не подготовится ли оно к тебе?,не подготовится ли оно к тебе?,TRUE,
ты подготовился к вам.,ты подготовился к вам.,TRUE,
не подготовилась ли ты к ним?,не подготовилась ли ты к ним?,TRUE,
ты подготовилось бы к нему.,ты подготовилось бы к нему.,TRUE,
я не подготовилось к нему.,я не подготовилось к нему.,TRUE,
не подготовься!,не подготовься!,TRUE,
я не подготовилось бы к себе.,я не подготовилось бы к себе.,TRUE,
оно не подготовится к нам.,оно не подготовится к нам.,TRUE,
не подготовилось ли бы ты?,не подготовилось ли бы ты?,TRUE,
я не подготовилась к тебе.,я не подготовилась к тебе.,TRUE,
не подведет ли оно их под неё за себя?,не подведет ли оно их под неё за себя?,TRUE,
не подвели ли бы вы его к нам за себя?,не подвели ли бы вы его к нам за себя?,TRUE,
ты подвело меня к нам за него.,ты подвело меня к нам за него.,TRUE,
оно не подведет вас к тебе за меня.,оно не подведет вас к тебе за меня.,TRUE,
не подвёл ли он их к нему за себя?,не подвёл ли он их к нему за себя?,TRUE,
не подвели ли бы вы их к ней за нас?,не подвели ли бы вы их к ней за нас?,TRUE,
я не подвёл нас к ним за него.,я не подвёл нас к ним за него.,TRUE,
не подведете ли вы тебя к ней за нас?,не подведете ли вы тебя к ней за нас?,TRUE,
мы не подведем их под неё за них.,мы не подведем их под неё за них.,TRUE,
не подведете ли вы его под неё за них?,не подведете ли вы его под неё за них?,TRUE,
они не подвели её ко мне за неё.,они не подвели её ко мне за неё.,TRUE,
подвели ли бы вы его к себе за меня?,подвели ли бы вы его к себе за меня?,TRUE,
мы не подвели бы её под него за тебя.,мы не подвели бы её под него за тебя.,TRUE,
подведет ли она его к ним за себя?,подведет ли она его к ним за себя?,TRUE,
не познало ли я тебя по вам?,не познало ли я тебя по вам?,TRUE,
познает ли она нас по тебе?,познает ли она нас по тебе?,TRUE,
не познала ли бы она её?,не познала ли бы она её?,TRUE,
он познал бы его по тебе.,он познал бы его по тебе.,TRUE,
познали ли они нас по нему?,познали ли они нас по нему?,TRUE,
не познало ли бы оно себя по вам?,не познало ли бы оно себя по вам?,TRUE,
познал ли бы ты её по ним?,познал ли бы ты её по ним?,TRUE,
познает ли она вас по себе?,познает ли она вас по себе?,TRUE,
познала ли бы я себя по ней?,познала ли бы я себя по ней?,TRUE,
оно познает её по ним.,оно познает её по ним.,TRUE,
мы не познали бы его по мне.,мы не познали бы его по мне.,TRUE,
не познала ли бы я его по себе?,не познала ли бы я его по себе?,TRUE,
он познал их по ней.,он познал их по ней.,TRUE,
не познало ли бы я тебя по нему?,не познало ли бы я тебя по нему?,TRUE,
ты познал их по мне.,ты познал их по мне.,TRUE,
я не познал её.,я не познал её.,TRUE,
они не познали вас по нему.,они не познали вас по нему.,TRUE,
они не познали его по тебе.,они не познали его по тебе.,TRUE,
не прибавили ли мы вас ему?,не прибавили ли мы вас ему?,TRUE,
ты не прибавила бы его нам.,ты не прибавила бы его нам.,TRUE,
прибавили ли бы они его к тебе?,прибавили ли бы они его к тебе?,TRUE,
прибавило ли бы ты его к нему?,прибавило ли бы ты его к нему?,TRUE,
ты прибавишь себя мне.,ты прибавишь себя мне.,TRUE,
ты не прибавил бы вас ко мне.,ты не прибавил бы вас ко мне.,TRUE,
прибавили ли бы они его нам?,прибавили ли бы они его нам?,TRUE,
ты прибавишь нас к нему.,ты прибавишь нас к нему.,TRUE,
я прибавил бы вас к нему.,я прибавил бы вас к нему.,TRUE,
прибавьте вас им!,прибавьте вас им!,TRUE,
не прибавил ли он его вам?,не прибавил ли он его вам?,TRUE,
он не прибавит их тебе.,он не прибавит их тебе.,TRUE,
они прибавят его ей.,они прибавят его ей.,TRUE,
оно не прибавит его.,оно не прибавит его.,TRUE,
прибавят ли они вас к нему?,прибавят ли они вас к нему?,TRUE,
вы не прибавили себя им.,вы не прибавили себя им.,TRUE,
они не прибавили её к себе.,они не прибавили её к себе.,TRUE,
он прибавил тебя себе.,он прибавил тебя себе.,TRUE,
прибавил ли бы он нас?,прибавил ли бы он нас?,TRUE,
вы не прибавили бы себя им.,вы не прибавили бы себя им.,TRUE,
не прибавь тебя к ней!,не прибавь тебя к ней!,TRUE,
мы придерживаемся его.,мы придерживаемся его.,TRUE,
придерживался ли он за себя?,придерживался ли он за себя?,TRUE,
придерживалось ли я за вас?,придерживалось ли я за вас?,TRUE,
мы придерживаемся их.,мы придерживаемся их.,TRUE,
не будем ли мы придерживаться их?,не будем ли мы придерживаться их?,TRUE,
проголосовало ли я за неё?,проголосовало ли я за неё?,TRUE,
проголосовало ли бы я за него?,проголосовало ли бы я за него?,TRUE,
не проголосовал ли ты за вас?,не проголосовал ли ты за вас?,TRUE,
не проголосовал ли бы ты против них?,не проголосовал ли бы ты против них?,TRUE,
оно проголосовало бы на ней.,оно проголосовало бы на ней.,TRUE,
не проголосовало ли бы я за неё?,не проголосовало ли бы я за неё?,TRUE,
ты проголосовало за вас.,ты проголосовало за вас.,TRUE,
проголосовало ли я за него?,проголосовало ли я за него?,TRUE,
вы проголосовали бы.,вы проголосовали бы.,TRUE,
оно не проголосовало бы на себе.,оно не проголосовало бы на себе.,TRUE,
не проголосовали ли они за тебя?,не проголосовали ли они за тебя?,TRUE,
он проголосовал бы на мне.,он проголосовал бы на мне.,TRUE,
ты проголосовала.,ты проголосовала.,TRUE,
вы не прогулялись в ней.,вы не прогулялись в ней.,TRUE,
не прогулялось ли оно в ней?,не прогулялось ли оно в ней?,TRUE,
ты прогулялся на вас.,ты прогулялся на вас.,TRUE,
прогулялась ли бы я на нём?,прогулялась ли бы я на нём?,TRUE,
я прогулялось по ней.,я прогулялось по ней.,TRUE,
прогулялось ли бы оно на ней?,прогулялось ли бы оно на ней?,TRUE,
не прогулялся ли бы он в тебе?,не прогулялся ли бы он в тебе?,TRUE,
оно прогулялось бы во мне.,оно прогулялось бы во мне.,TRUE,
не прогулялось ли бы оно на нём?,не прогулялось ли бы оно на нём?,TRUE,
не прогулялась ли бы ты на них?,не прогулялась ли бы ты на них?,TRUE,
не прогулялись ли бы они на нём?,не прогулялись ли бы они на нём?,TRUE,
не прогулялось ли бы оно в себе?,не прогулялось ли бы оно в себе?,TRUE,
я не прогулялась бы в вас.,я не прогулялась бы в вас.,TRUE,
вы не прогулялись бы на нём.,вы не прогулялись бы на нём.,TRUE,
я прогулялась в вас.,я прогулялась в вас.,TRUE,
прогулялась ли бы я в нас?,прогулялась ли бы я в нас?,TRUE,
мы противостояли бы ему.,мы противостояли бы ему.,TRUE,
не противостояло ли бы оно вам?,не противостояло ли бы оно вам?,TRUE,
ты не противостояло бы ему.,ты не противостояло бы ему.,TRUE,
вы противостояли бы тебе.,вы противостояли бы тебе.,TRUE,
противостояло ли бы ты им?,противостояло ли бы ты им?,TRUE,
не противостояло ли ты ему?,не противостояло ли ты ему?,TRUE,
не противостояли ли они вам?,не противостояли ли они вам?,TRUE,
ты противостояло бы мне.,ты противостояло бы мне.,TRUE,
не противостояло ли ты ему?,не противостояло ли ты ему?,TRUE,
они пустили их с себя к нему за нами.,они пустили их с себя к нему за нами.,TRUE,
пустил ли он его из неё на тебя за ним?,пустил ли он его из неё на тебя за ним?,TRUE,
он пустил тебя от него к нему за ней.,он пустил тебя от него к нему за ней.,TRUE,
не пустило ли оно тебя от него ко мне за нами?,не пустило ли оно тебя от него ко мне за нами?,TRUE,
пустила ли она её от неё на неё за вами?,пустила ли она её от неё на неё за вами?,TRUE,
пустил ли я нас с него на себя за тобой?,пустил ли я нас с него на себя за тобой?,TRUE,
пустила ли бы она себя из них на меня за вами?,пустила ли бы она себя из них на меня за вами?,TRUE,
пустил ли ты его от него на себя?,пустил ли ты его от него на себя?,TRUE,
не пустил ли он себя с меня на вас за нему?,не пустил ли он себя с меня на вас за нему?,TRUE,
вы пустили его из меня на тебя.,вы пустили его из меня на тебя.,TRUE,
пустили ли бы мы их с неё на вас за тобой?,пустили ли бы мы их с неё на вас за тобой?,TRUE,
пустило ли оно её от него в нас?,пустило ли оно её от него в нас?,TRUE,
я не пустил тебя на нас.,я не пустил тебя на нас.,TRUE,
они не пустили его с неё в него за нами.,они не пустили его с неё в него за нами.,TRUE,
будут ли они распознавать вас?,будут ли они распознавать вас?,TRUE,
я не распознаю вас.,я не распознаю вас.,TRUE,
ты не распознавало его.,ты не распознавало его.,TRUE,
распознавали ли вы его?,распознавали ли вы его?,TRUE,
распознавала ли бы ты её?,распознавала ли бы ты её?,TRUE,
она будет распознавать тебя.,она будет распознавать тебя.,TRUE,
он не распознавал бы меня.,он не распознавал бы меня.,TRUE,
распознаю ли я её?,распознаю ли я её?,TRUE,
оно распознаёт её.,оно распознаёт её.,TRUE,
они не распознавали бы нас.,они не распознавали бы нас.,TRUE,
распознаёт ли она себя?,распознаёт ли она себя?,TRUE,
не распознавали ли бы они его?,не распознавали ли бы они его?,TRUE,
не распознают ли они меня?,не распознают ли они меня?,TRUE,
не распознавало ли бы оно их?,не распознавало ли бы оно их?,TRUE,
будет ли оно распознавать её?,будет ли оно распознавать её?,TRUE,
не будет ли он распознавать его?,не будет ли он распознавать его?,TRUE,
не распознаёшь ли ты их?,не распознаёшь ли ты их?,TRUE,
ты распознавало вас.,ты распознавало вас.,TRUE,
ты распознавал его.,ты распознавал его.,TRUE,
различали ли мы его по нему?,различали ли мы его по нему?,TRUE,
она будет различать её по нему.,она будет различать её по нему.,TRUE,
не различало ли бы ты вас по мне?,не различало ли бы ты вас по мне?,TRUE,
ты не различало бы их по нам.,ты не различало бы их по нам.,TRUE,
не различайте вас по нему!,не различайте вас по нему!,TRUE,
не будет ли он различать его?,не будет ли он различать его?,TRUE,
будешь ли ты различать её по вам?,будешь ли ты различать её по вам?,TRUE,
ты различал нас по ней.,ты различал нас по ней.,TRUE,
он различал тебя по ним.,он различал тебя по ним.,TRUE,
оно различало вас по себе.,оно различало вас по себе.,TRUE,
оно различало меня по нему.,оно различало меня по нему.,TRUE,
я различала бы вас по тебе.,я различала бы вас по тебе.,TRUE,
ты не различал бы меня по нам.,ты не различал бы меня по нам.,TRUE,
не различайте тебя по ним!,не различайте тебя по ним!,TRUE,
не будете ли вы различать меня по себе?,не будете ли вы различать меня по себе?,TRUE,
она различала её по нам.,она различала её по нам.,TRUE,
я различал себя по ним.,я различал себя по ним.,TRUE,
не размещало ли бы оно их собой?,не размещало ли бы оно их собой?,TRUE,
размещал ли бы он нас в себе?,размещал ли бы он нас в себе?,TRUE,
размещало ли оно тебя собой?,размещало ли оно тебя собой?,TRUE,
размещал ли бы ты нас?,размещал ли бы ты нас?,TRUE,
размещали ли бы вы его на ней?,размещали ли бы вы его на ней?,TRUE,
они размещали меня в себе.,они размещали меня в себе.,TRUE,
будешь ли ты размещать его на мне?,будешь ли ты размещать его на мне?,TRUE,
будет ли он размещать его собой?,будет ли он размещать его собой?,TRUE,
оно размещало его в нас.,оно размещало его в нас.,TRUE,
размещали ли бы вы нас на себе?,размещали ли бы вы нас на себе?,TRUE,
размещайте себя им!,размещайте себя им!,TRUE,
вы размещаете себя нами.,вы размещаете себя нами.,TRUE,
я размещало бы его ему.,я размещало бы его ему.,TRUE,
размещала ли она меня на себе?,размещала ли она меня на себе?,TRUE,
ты не размещала её на себе.,ты не размещала её на себе.,TRUE,
не размещали ли бы вы его им?,не размещали ли бы вы его им?,TRUE,
оно размещало меня ими.,оно размещало меня ими.,TRUE,
я не размещало бы тебя им.,я не размещало бы тебя им.,TRUE,
размещала ли она себя вами?,размещала ли она себя вами?,TRUE,
я размещал вас на тебе.,я размещал вас на тебе.,TRUE,
будет ли она размещать тебя на ней?,будет ли она размещать тебя на ней?,TRUE,
вы не разорвали её на них.,вы не разорвали её на них.,TRUE,
разорвал ли я себя ей?,разорвал ли я себя ей?,TRUE,
оно не разорвало бы тебя в нас.,оно не разорвало бы тебя в нас.,TRUE,
ты разорвал её в них.,ты разорвал её в них.,TRUE,
ты не разорвал себя мне.,ты не разорвал себя мне.,TRUE,
вы разорвали нас ей.,вы разорвали нас ей.,TRUE,
разорвала ли ты его в него?,разорвала ли ты его в него?,TRUE,
не разорвала ли я его с вами?,не разорвала ли я его с вами?,TRUE,
разорвала ли бы ты себя ей?,разорвала ли бы ты себя ей?,TRUE,
разорвали ли мы его ей?,разорвали ли мы его ей?,TRUE,
не разорвало ли я себя им?,не разорвало ли я себя им?,TRUE,
разорвали ли вы его ей?,разорвали ли вы его ей?,TRUE,
я не разорвал бы её на него.,я не разорвал бы её на него.,TRUE,
он разорвал себя.,он разорвал себя.,TRUE,
они развились бы.,они развились бы.,TRUE,
я не развилась.,я не развилась.,TRUE,
ты не развилась бы.,ты не развилась бы.,TRUE,
они не развились бы.,они не развились бы.,TRUE,
вы развились бы.,вы развились бы.,TRUE,
не развились ли вы?,не развились ли вы?,TRUE,
не развился ли он?,не развился ли он?,TRUE,
я не развилась бы.,я не развилась бы.,TRUE,
развились ли вы?,развились ли вы?,TRUE,
мы не развились.,мы не развились.,TRUE,
не развились ли мы?,не развились ли мы?,TRUE,
развилась ли я?,развилась ли я?,TRUE,
я развилась.,я развилась.,TRUE,
ты не развилось.,ты не развилось.,TRUE,
развилась ли бы я?,развилась ли бы я?,TRUE,
не развилось ли бы ты?,не развилось ли бы ты?,TRUE,
я не развился бы.,я не развился бы.,TRUE,
не развилось ли ты?,не развилось ли ты?,TRUE,
не развились ли вы?,не развились ли вы?,TRUE,
не развился ли он?,не развился ли он?,TRUE,
не сбило ли я вас с тебя им?,не сбило ли я вас с тебя им?,TRUE,
я собью себя на нас.,я собью себя на нас.,TRUE,
ты сбила её с меня нами.,ты сбила её с меня нами.,TRUE,
ты не сбило их с него ей.,ты не сбило их с него ей.,TRUE,
ты не собьешь его с неё ими.,ты не собьешь его с неё ими.,TRUE,
вы сбили их с них ей.,вы сбили их с них ей.,TRUE,
не сбило ли ты их с нас ему?,не сбило ли ты их с нас ему?,TRUE,
он не собьет меня с тебя.,он не собьет меня с тебя.,TRUE,
мы собьем его с него собой.,мы собьем его с него собой.,TRUE,
не сбили ли они их из неё?,не сбили ли они их из неё?,TRUE,
оно не сбило бы его с неё мной.,оно не сбило бы его с неё мной.,TRUE,
они не сбили бы вас с меня нами.,они не сбили бы вас с меня нами.,TRUE,
она не сбила нас с него ими.,она не сбила нас с него ими.,TRUE,
я не сбила себя с него ими.,я не сбила себя с него ими.,TRUE,
ты не сбила их нами.,ты не сбила их нами.,TRUE,
не сбили ли вы её с себя мной?,не сбили ли вы её с себя мной?,TRUE,
вы сбили бы его с меня ими.,вы сбили бы его с меня ими.,TRUE,
сбил ли бы ты его с себя?,сбил ли бы ты его с себя?,TRUE,
не сбило ли оно его с неё?,не сбило ли оно его с неё?,TRUE,
не сбило ли ты его с них мной?,не сбило ли ты его с них мной?,TRUE,
мы не сбили бы его с тебя ему.,мы не сбили бы его с тебя ему.,TRUE,
сбросило ли я нас из неё в вас?,сбросило ли я нас из неё в вас?,TRUE,
сбросьте себя с него в нас!,сбросьте себя с него в нас!,TRUE,
я сбросил их в него.,я сбросил их в него.,TRUE,
они сбросили нас с меня в тебя.,они сбросили нас с меня в тебя.,TRUE,
они не сбросили бы меня из него на вас.,они не сбросили бы меня из него на вас.,TRUE,
я сбросило их из тебя в вас.,я сбросило их из тебя в вас.,TRUE,
сброшу ли я их из него в него?,сброшу ли я их из него в него?,TRUE,
не сбросит ли оно вас из меня на нас?,не сбросит ли оно вас из меня на нас?,TRUE,
сбросило ли бы я их из нас в тебя?,сбросило ли бы я их из нас в тебя?,TRUE,
он сбросил нас из вас на него.,он сбросил нас из вас на него.,TRUE,
сбросите ли вы его с них в себя?,сбросите ли вы его с них в себя?,TRUE,
сбросило ли ты меня с неё в неё?,сбросило ли ты меня с неё в неё?,TRUE,
сброшу ли я их из него?,сброшу ли я их из него?,TRUE,
она сбросила себя с него в него.,она сбросила себя с него в него.,TRUE,
сбросим ли мы её с неё в себя?,сбросим ли мы её с неё в себя?,TRUE,
мы не сбросили бы её с меня на вас.,мы не сбросили бы её с меня на вас.,TRUE,
сбросили ли бы они себя с меня в вас?,сбросили ли бы они себя с меня в вас?,TRUE,
не сброшу ли я себя им?,не сброшу ли я себя им?,TRUE,
сбросило ли я нас с тебя на неё?,сбросило ли я нас с тебя на неё?,TRUE,
я сбросила бы его из него в вас.,я сбросила бы его из него в вас.,TRUE,
сбросила ли бы я его с нас в него?,сбросила ли бы я его с нас в него?,TRUE,
сбросило ли оно меня с вас в него?,сбросило ли оно меня с вас в него?,TRUE,
сбросили ли бы мы их с неё в вас?,сбросили ли бы мы их с неё в вас?,TRUE,
скинули ли вы их ему из тебя?,скинули ли вы их ему из тебя?,TRUE,
мы скинем себя из него на них.,мы скинем себя из него на них.,TRUE,
скинули ли бы мы тебя мне на вас?,скинули ли бы мы тебя мне на вас?,TRUE,
я скинула бы себя с тебя на них.,я скинула бы себя с тебя на них.,TRUE,
не скинуло ли я их из него к вам?,не скинуло ли я их из него к вам?,TRUE,
вы скинули его из них к нему.,вы скинули его из них к нему.,TRUE,
скинет ли оно меня себе на неё?,скинет ли оно меня себе на неё?,TRUE,
скинули ли бы мы себя мне?,скинули ли бы мы себя мне?,TRUE,
ты скинул вас из них в себя.,ты скинул вас из них в себя.,TRUE,
скинули ли они тебя из вас в меня?,скинули ли они тебя из вас в меня?,TRUE,
не скинула ли бы ты нас из себя на вас?,не скинула ли бы ты нас из себя на вас?,TRUE,
скинуло ли оно тебя с неё на них?,скинуло ли оно тебя с неё на них?,TRUE,
скинули ли бы мы себя ей с неё?,скинули ли бы мы себя ей с неё?,TRUE,
они не скинули меня с себя к нам.,они не скинули меня с себя к нам.,TRUE,
оно скинет её с неё в него.,оно скинет её с неё в него.,TRUE,
скинут ли они нас с вас к ней?,скинут ли они нас с вас к ней?,TRUE,
они не скинули себя из нас к нему.,они не скинули себя из нас к нему.,TRUE,
не скинет ли оно нас из неё в меня?,не скинет ли оно нас из неё в меня?,TRUE,
не скинул ли я вас из них в себя?,не скинул ли я вас из них в себя?,TRUE,
скопировала ли бы ты его из меня в них?,скопировала ли бы ты его из меня в них?,TRUE,
он не скопировал его с него в него.,он не скопировал его с него в него.,TRUE,
скопировала ли бы она её с неё в вас?,скопировала ли бы она её с неё в вас?,TRUE,
не скопировал ли ты его из нас в себя?,не скопировал ли ты его из нас в себя?,TRUE,
она скопировала бы его из вас на меня.,она скопировала бы его из вас на меня.,TRUE,
не скопировал ли бы он его с меня на нас?,не скопировал ли бы он его с меня на нас?,TRUE,
скопировал ли бы он меня из вас в него?,скопировал ли бы он меня из вас в него?,TRUE,
скопировали ли бы они их с тебя на него?,скопировали ли бы они их с тебя на него?,TRUE,
ты не скопировала её из себя на нас.,ты не скопировала её из себя на нас.,TRUE,
ты скопировал бы их с меня на него.,ты скопировал бы их с меня на него.,TRUE,
она не скопировала бы тебя из себя на него.,она не скопировала бы тебя из себя на него.,TRUE,
ты не скопировал бы его из нас в неё.,ты не скопировал бы его из нас в неё.,TRUE,
они не скопировали бы нас с него в вас.,они не скопировали бы нас с него в вас.,TRUE,
я скопировала вас в него.,я скопировала вас в него.,TRUE,
не скопируй меня с себя на неё!,не скопируй меня с себя на неё!,TRUE,
скопировала ли ты меня из неё на неё?,скопировала ли ты меня из неё на неё?,TRUE,
мы сменили бы его ему.,мы сменили бы его ему.,TRUE,
ты не сменил её на неё.,ты не сменил её на неё.,TRUE,
я сменил бы их в себе.,я сменил бы их в себе.,TRUE,
оно не сменило бы их на вас.,оно не сменило бы их на вас.,TRUE,
оно не сменит его на них.,оно не сменит его на них.,TRUE,
я сменил бы её на неё.,я сменил бы её на неё.,TRUE,
сменила ли бы я себя на вас?,сменила ли бы я себя на вас?,TRUE,
они не сменили его на нём.,они не сменили его на нём.,TRUE,
сменила ли она их на него?,сменила ли она их на него?,TRUE,
ты сменило меня на себе.,ты сменило меня на себе.,TRUE,
сменило ли ты его мне?,сменило ли ты его мне?,TRUE,
он не сменит их.,он не сменит их.,TRUE,
я сменила себя в нём.,я сменила себя в нём.,TRUE,
сменили ли бы мы тебя?,сменили ли бы мы тебя?,TRUE,
сменил ли бы он её ей?,сменил ли бы он её ей?,TRUE,
оно сменит тебя в нас.,оно сменит тебя в нас.,TRUE,
сменило ли бы я его себе?,сменило ли бы я его себе?,TRUE,
она не сменит его мне.,она не сменит его мне.,TRUE,
сменило ли я её на них?,сменило ли я её на них?,TRUE,
я сменил бы его ему.,я сменил бы его ему.,TRUE,
не сняли ли бы они её у себя?,не сняли ли бы они её у себя?,TRUE,
сняли ли мы их у тебя?,сняли ли мы их у тебя?,TRUE,
не сняли ли бы мы их с неё?,не сняли ли бы мы их с неё?,TRUE,
ты снял бы его у вас.,ты снял бы его у вас.,TRUE,
они сняли его с вас.,они сняли его с вас.,TRUE,
они снимут вас у меня.,они снимут вас у меня.,TRUE,
не снял ли бы я его у него?,не снял ли бы я его у него?,TRUE,
вы сняли бы меня у него.,вы сняли бы меня у него.,TRUE,
сняли ли мы его с него?,сняли ли мы его с него?,TRUE,
не сняла ли бы ты меня у себя?,не сняла ли бы ты меня у себя?,TRUE,
не сняло ли бы ты вас с них?,не сняло ли бы ты вас с них?,TRUE,
не снял ли я себя с него?,не снял ли я себя с него?,TRUE,
он не снял бы себя с него.,он не снял бы себя с него.,TRUE,
сняло ли бы ты себя с неё?,сняло ли бы ты себя с неё?,TRUE,
я не сняла тебя с него.,я не сняла тебя с него.,TRUE,
сняла ли бы она тебя с вас?,сняла ли бы она тебя с вас?,TRUE,
снимут ли они их?,снимут ли они их?,TRUE,
цитировал ли он нас им?,цитировал ли он нас им?,TRUE,
он не цитировал бы нас из них в нём.,он не цитировал бы нас из них в нём.,TRUE,
цитируете ли вы меня из нас в нём?,цитируете ли вы меня из нас в нём?,TRUE,
цитировал ли бы он его из них?,цитировал ли бы он его из них?,TRUE,
не цитировал ли я вас из неё в нём?,не цитировал ли я вас из неё в нём?,TRUE,
цитировала ли бы ты себя вам?,цитировала ли бы ты себя вам?,TRUE,
цитирует ли оно тебя вам?,цитирует ли оно тебя вам?,TRUE,
ты не будешь цитировать его из вас в нас.,ты не будешь цитировать его из вас в нас.,TRUE,
ты цитируешь их из него.,ты цитируешь их из него.,TRUE,
оно цитировало бы нас из него в нём.,оно цитировало бы нас из него в нём.,TRUE,
ты цитировала вас из неё во мне.,ты цитировала вас из неё во мне.,TRUE,
они будут цитировать его из неё в себе.,они будут цитировать его из неё в себе.,TRUE,
я цитировала бы его из себя в вас.,я цитировала бы его из себя в вас.,TRUE,
цитировал ли бы я его из себя в нём?,цитировал ли бы я его из себя в нём?,TRUE,
они цитируют их в них.,они цитируют их в них.,TRUE,
не цитировало ли оно её из вас в себе?,не цитировало ли оно её из вас в себе?,TRUE,
я не цитировал бы его из него в нём.,я не цитировал бы его из него в нём.,TRUE,
она не цитировала их из вас во мне.,она не цитировала их из вас во мне.,TRUE,
цитировал ли бы ты их из него в нём?,цитировал ли бы ты их из него в нём?,TRUE,
мы не упростили бы вас.,мы не упростили бы вас.,TRUE,
он не упростит себе меня.,он не упростит себе меня.,TRUE,
он упростил нас.,он упростил нас.,TRUE,
не ведётся ли он ими?,не ведётся ли он ими?,TRUE,
ты не велась.,ты не велась.,TRUE,
ведитесь на вас!,ведитесь на вас!,TRUE,
они не велись нами.,они не велись нами.,TRUE,
я не велось на неё.,я не велось на неё.,TRUE,
ты не велось вами.,ты не велось вами.,TRUE,
я не велось бы на него.,я не велось бы на него.,TRUE,
ведёшься ли ты на неё?,ведёшься ли ты на неё?,TRUE,
велась ли бы я на вас?,велась ли бы я на вас?,TRUE,
не велись ли мы на меня?,не велись ли мы на меня?,TRUE,
велись ли мы ими?,велись ли мы ими?,TRUE,
ты не вкладывала бы его в вас.,ты не вкладывала бы его в вас.,TRUE,
я не вкладывала бы его в него.,я не вкладывала бы его в него.,TRUE,
вкладывал ли он меня на неё?,вкладывал ли он меня на неё?,TRUE,
он вкладывал его на него.,он вкладывал его на него.,TRUE,
ты не вкладывал меня на него.,ты не вкладывал меня на него.,TRUE,
ты не вкладывало бы нас на вас.,ты не вкладывало бы нас на вас.,TRUE,
не вкладываем ли мы вас в тебя?,не вкладываем ли мы вас в тебя?,TRUE,
не будут ли они вкладывать вас на себя?,не будут ли они вкладывать вас на себя?,TRUE,
вкладывали ли бы вы тебя на нас?,вкладывали ли бы вы тебя на нас?,TRUE,
мы не вкладываем его в неё.,мы не вкладываем его в неё.,TRUE,
они вкладывают его в вас.,они вкладывают его в вас.,TRUE,
вкладываем ли мы меня в него?,вкладываем ли мы меня в него?,TRUE,
не будет ли она вкладывать их в тебя?,не будет ли она вкладывать их в тебя?,TRUE,
я не вкладывал их на них.,я не вкладывал их на них.,TRUE,
она не вкладывала бы нас в них.,она не вкладывала бы нас в них.,TRUE,
не вкладывала ли бы она его в него?,не вкладывала ли бы она его в него?,TRUE,
вкладывают ли они себя в тебя?,вкладывают ли они себя в тебя?,TRUE,
не вкладывало ли ты его в нас?,не вкладывало ли ты его в нас?,TRUE,
будет ли он вкладывать меня в неё?,будет ли он вкладывать меня в неё?,TRUE,
не внедрял ли бы я нас в себя?,не внедрял ли бы я нас в себя?,TRUE,
внедряете ли вы меня себе?,внедряете ли вы меня себе?,TRUE,
мы внедряли его в них.,мы внедряли его в них.,TRUE,
я внедряю его им.,я внедряю его им.,TRUE,
они внедряли бы меня.,они внедряли бы меня.,TRUE,
она не внедряет его нам.,она не внедряет его нам.,TRUE,
не внедряли ли бы вы нас в меня?,не внедряли ли бы вы нас в меня?,TRUE,
не внедряли ли вы их им?,не внедряли ли вы их им?,TRUE,
ты не внедряло нас в меня.,ты не внедряло нас в меня.,TRUE,
не внедрял ли ты себя ей?,не внедрял ли ты себя ей?,TRUE,
не внедряйте её в него!,не внедряйте её в него!,TRUE,
не внедряли ли бы вы нас ему?,не внедряли ли бы вы нас ему?,TRUE,
внедряло ли я себя нам?,внедряло ли я себя нам?,TRUE,
вы внедряли меня тебе.,вы внедряли меня тебе.,TRUE,
ты внедряла бы его.,ты внедряла бы его.,TRUE,
он внедрял тебя.,он внедрял тебя.,TRUE,
оно не внедряет тебя вам.,оно не внедряет тебя вам.,TRUE,
мы будем внедрять его мне.,мы будем внедрять его мне.,TRUE,
я не внедрял бы их вам.,я не внедрял бы их вам.,TRUE,
внедряла ли бы я его нам?,внедряла ли бы я его нам?,TRUE,
я воспроизвело бы вас в нём.,я воспроизвело бы вас в нём.,TRUE,
оно не воспроизведет его на себе.,оно не воспроизведет его на себе.,TRUE,
не воспроизвело ли ты их на нём?,не воспроизвело ли ты их на нём?,TRUE,
не воспроизвели ли они нас на себе?,не воспроизвели ли они нас на себе?,TRUE,
вы воспроизвели его в них.,вы воспроизвели его в них.,TRUE,
не воспроизведите её на мне!,не воспроизведите её на мне!,TRUE,
не воспроизведет ли он его на нём?,не воспроизведет ли он его на нём?,TRUE,
воспроизведут ли они меня на нём?,воспроизведут ли они меня на нём?,TRUE,
воспроизвели ли бы вы нас на нём?,воспроизвели ли бы вы нас на нём?,TRUE,
ты не воспроизвело меня.,ты не воспроизвело меня.,TRUE,
они воспроизведут её на тебе.,они воспроизведут её на тебе.,TRUE,
не воспроизвела ли ты вас на нас?,не воспроизвела ли ты вас на нас?,TRUE,
они воспроизвели бы меня на них.,они воспроизвели бы меня на них.,TRUE,
она не воспроизведет тебя в вас.,она не воспроизведет тебя в вас.,TRUE,
оно воспроизвело бы их в вас.,оно воспроизвело бы их в вас.,TRUE,
воспроизведет ли она их на нём?,воспроизведет ли она их на нём?,TRUE,
мы воспроизвели бы тебя на ней.,мы воспроизвели бы тебя на ней.,TRUE,
мы не будем воздействовать его ими.,мы не будем воздействовать его ими.,TRUE,
воздействовал ли бы он вас нами?,воздействовал ли бы он вас нами?,TRUE,
